Census_Tract,Black Total Mortality,White Total Mortality,Total Mortality,Alzheimer's disease,Cancer,Chronic liver disease and cirrhosis,Chronic lower respiratory diseases,Diabetes,Flu and pneumonia,Heart disease,Homicide,Septicemia,Stroke,Suicide,Unintentional injuries
42003423000,0,100,102,6,26,0,0,6,0,20,0,0,0,0,6
42003424000,9,211,220,0,42,5,9,0,5,60,0,5,10,0,34
42003425000,0,198,203,0,45,0,11,5,0,41,0,0,10,0,21
42003426300,0,331,332,15,71,0,15,0,0,96,0,0,11,0,19
42003426400,0,276,278,12,59,0,16,0,7,66,0,6,15,0,23
42003426700,0,151,154,6,42,0,9,0,6,30,0,6,10,0,8
42003426800,0,273,273,11,61,0,15,0,0,60,0,0,17,0,6
42003427000,0,250,254,0,47,0,17,7,6,78,0,0,14,0,26
42003427100,0,257,258,10,60,0,12,11,0,65,0,0,14,0,17
42003427200,0,314,317,9,72,6,18,9,0,92,0,6,9,0,22
42003428100,0,76,76,0,16,0,9,0,0,21,0,0,0,0,7
42003428200,0,137,139,0,35,0,6,0,0,41,0,0,6,0,9
42003429100,0,149,150,7,38,0,7,0,0,32,0,0,7,0,10
42003429201,6,272,278,15,47,0,17,9,8,79,0,9,11,0,9
42003429202,0,203,204,12,43,0,9,0,0,57,0,0,6,0,13
42003429300,0,428,431,12,98,0,28,12,6,92,0,0,13,0,16
42003429400,0,213,215,5,50,0,12,6,7,49,0,0,17,0,18
42003429500,0,262,266,5,59,0,19,5,8,76,0,0,12,10,9
42003429600,7,188,195,7,28,0,11,0,5,62,0,0,11,0,10
42003429700,0,135,137,0,29,0,7,0,0,39,0,0,6,0,9
42003430100,0,78,80,0,15,0,0,0,0,27,0,0,0,0,6
42003430200,0,203,207,5,38,0,11,0,0,55,0,6,9,9,11
42003431100,14,117,131,0,27,0,7,0,0,34,0,0,6,0,15
42003431400,8,68,76,0,13,0,0,0,0,23,0,0,0,0,0
42003431500,6,145,151,0,30,0,5,0,0,36,0,0,8,5,24
42003432300,11,187,198,0,32,0,22,6,0,58,0,0,9,0,15
42003432400,10,128,138,0,35,0,7,0,0,32,0,0,6,0,15
42003434000,0,57,59,0,9,0,6,0,0,18,0,0,0,0,0
42003435000,0,101,104,5,20,0,0,0,0,26,0,0,7,0,7
42003437000,0,176,180,6,43,0,6,0,7,41,0,0,10,0,11
42003439000,0,50,51,0,17,0,0,0,0,11,0,0,0,0,0
42003445500,19,153,172,6,38,0,8,0,5,43,0,0,6,0,10
42003446000,0,54,55,0,13,0,0,0,0,13,0,0,0,0,0
42003447000,0,56,58,0,14,0,5,0,0,12,0,0,0,0,5
42003448000,0,67,71,0,19,0,0,0,0,15,0,0,0,0,0
42003449000,0,111,115,0,29,0,5,7,0,28,0,0,0,0,6
42003450700,14,170,184,5,43,0,13,0,0,47,0,0,11,0,12
42003450800,22,164,186,0,35,0,12,0,6,54,0,7,9,0,17
42003451101,0,128,131,0,32,0,9,0,6,34,0,0,6,0,7
42003451102,16,155,171,0,45,0,10,0,0,34,0,9,9,0,9
42003451104,0,103,106,0,32,0,0,0,0,22,0,0,0,0,5
42003451105,9,184,193,7,33,0,9,5,0,64,0,5,6,0,11
42003451300,8,383,391,9,77,0,23,11,14,105,0,0,17,0,16
